City served / location;ICAO;Airport name;Usage
Châtillon-sur-Seine;LFQH;Châtillon-sur-Seine Airport;Public
Chaumont / Semoutiers;LFJA;Quartier Général d'Aboville (UAF);Government/mil.
Chauvigny;LFDW;Chauvigny Airport;Public
Chavenay / Villepreux;LFPX;Aérodrome de Chavenay - Villepreux (UAF);Public
Chelles / Le Pin;LFPH;Chelles - Le Pin Aerodrome (UAF);Public
Cherbourg-Octeville / Maupertus-sur-Mer;LFRC;Cherbourg – Maupertus Airport;Public
Cholet / Le Pontreau;LFOU;Cholet - Le Pontreau Aerodrome (UAF);Public
Clamecy;LFJC;Clamecy Airport;Public
Clermont-Ferrand / Auvergne;LFLC;Clermont-Ferrand Auvergne Airport;Public
Coëtquidan / Guer;LFXQ;Coëtquidan Air Base;Military
Cognac / Châteaubernard;LFBG;Cognac – Châteaubernard Air Base (BA 709);Military
Col de Peyresourde / Balestas;LFIP;Peyresourde - Balestas Aerodrome;Restricted
Colmar / Houssen;LFGA;Colmar Airport;Public
Colmar / Meyenheim;LFSC;Quartier Colonel Dio (BA 132);Military
Compiègne / Margny-lès-Compiègne;LFAD;Compiègne - Margny Airport;Public
Condé-sur-Noireau;LFAN;Condé-sur-Noireau Aerodrome;
Condom / Valence-sur-Baïse;LFID;Condom - Valence-sur-Baïse Airport;Public
Corlier;LFJD;Corlier Aerodrome;Restricted
Corte;LFKT;Corte Airport;Public
Cosne-Cours-sur-Loire;LFGH;Cosne-sur-Loire Airport;Public
Couhé / Vérac;LFDV;Couhé - Vérac Airport;Public
Coulommiers / Voisins;LFPK;Coulommiers – Voisins Aerodrome;Public
Courchevel / Saint-Bon-Tarentaise;LFLJ;Courchevel Altiport;Restricted
Creil;LFPC;Creil Air Base (BA 110);Military
Cuers / Pierrefeu;LFTF;Cuers - Pierrefeu Airport;Public
Damblain;LFYD;Damblain Airport;
Dax / Seyresse;LFBY;Dax - Seyresse Airport;Public
Deauville / Normandie;LFRG;Deauville – Normandie Airport;Public
Dieppe / Saint-Aubin-sur-Scie;LFAB;Dieppe - Saint-Aubin Airport (UAF);Public
Dieuze / Guéblange;LFQZ;Dieuze - Gueblange Aerodrome;Restricted
Dijon / Darois;LFGI;Dijon - Darois Airport;Public
Dijon / Longvic;LFSD;Dijon–Bourgogne Airport (BA 102);Public/mil.
Dinan / Trélivan;LFEB;Dinan - Trélivan Airport;Public
Dinard / Pleurtuit / Saint-Malo;LFRD;Dinard–Pleurtuit–Saint-Malo Airport;Public
Dole / Tavaux;LFGJ;Dole–Jura Airport;Public
Doncourt-lès-Conflans;LFGR;Doncourt-lès-Conflans Airport;Public
Dreux / Vernouillet;LFON;Vernouillet Airport;Public
Dunkirk / Les Moëres;LFAK;Dunkerque – Les Moëres Airport;Restricted
Égletons;LFDE;Égletons Airport;Public
Enghien-les-Bains / Moisselles;LFFE;Enghien Moisselles Airport;Restricted
Épernay / Plivot;LFSW;Épernay - Plivot Airport;Public
Épinal / Dogneville;LFSE;Épinal - Dogneville Airport;Public
Épinal / Mirecourt;LFSG;Épinal – Mirecourt Airport;Public
Étain / Rouvres-en-Woëvre;LFQE;Étain - Rouvres Air Base;
Étampes / Mondésir;LFOX;Étampes - Mondésir Aerodrome (UAF);Public
Étrépagny;LFFY;Étrépagny Aerodrome;Restricted
Eu / Mers-les-Bains / Le Tréport;LFAE;Eu - Mers - Le Tréport Aerodrome (UAF);Restricted
Évreux / Fauville;LFOE;Évreux-Fauville Air Base (BA 105);Military
Évry;;Évry Heliport;
Falaise / Eraines;LFAS;Falaise - Monts d'Eraines Aerodrome;Restricted
Fayence;LFMF;Fayence-Tourrettes Airfield;Public
Feurs / Chambéon;LFLZ;Feurs - Chambéon Airport;Public
Figari Corse-du-Sud;LFKF;Figari–Sud Corse Airport;Public
Figeac / Livernon;LFCF;Figeac - Livernon Airport;Public
Flers / Saint-Paul;LFOG;Flers - Saint-Paul Aerodrome (UAF);Public
Florac / Sainte-Enimie;LFNO;Florac - Sainte-Enimie Aerodrome;Restricted
Fontenay-le-Comte;LFFK;Fontenay-le-Comte Airport;Public
Fontenay-Trésigny;LFPQ;Fontenay-Trésigny Airport;Public
Fumel / Montayral;LFDX;Fumel - Montayral Airport;Public
Gaillac / Lisle-sur-Tarn;LFDG;Gaillac - Lisle-sur-Tarn Airport;Public
Gap / Tallard;LFNA;Gap–Tallard Airport;Public
Ghisonaccia / Alzitone;LFKG;Ghisonaccia Alzitone Airport;Restricted
Granville / Mont-Saint-Michel;LFRF;Granville - Mont Saint-Michel Aerodrome (UAF);Public
Graulhet / Montdragon;LFCQ;Graulhet - Montdragon Airport;Public
Gray;LFEV;Gray - Saint-Adrien Airport[fr];Public
Grenoble / Le Versoud;LFLG;Grenoble – Le Versoud Aerodrome;Public
Grenoble / Saint-Étienne-de-Saint-Geoirs;LFLS;Alpes–Isère Airport;Public
Guéret / Saint-Laurent;LFCE;Guéret - Saint-Laurent Airport;Public
Guiscriff;LFES;Guiscriff Scaer Airport;
Haguenau;LFSH;Haguenau Airport;Public
Île d'Yeu;LFEY;Île d'Yeu Aerodrome;Public
Issoire / Le Broc;LFHA;Issoire - Le Broc Airport;Public
Issoudun / Le Fay;LFEK;Issoudun - Le Fay Airport;Public
Issy-les-Moulineaux;LFPI;Paris - Issy-les-Moulineaux Heliport (UAF);
